ID,Genus,Substrate,Sub,BlockNum,DateMeasured,DatePlanted,DateHarvested,NumStems_Initial,Height_cm_Initial,Diameter_mm_Initial,NumStems,Height_cm,Diameter_mm,Condition,Notes_PreHarvest,DateWetWeighed,AGWetmass_g,BGWetmass_g,DateAGDryWeighed,AGDrymass_g,DateBGDryWeighed,BGDrymass_g,Totmass,Notes_Biomass,Dead,Exclude
1,Zizaniopsis,Mix,M,1,4/12/2022,10/22/2021,4/13/2022,6,,,24,172,,5,,4/13/2022,222.68,383.9,4/23/2022,58.65,4/27/2022,44.72,103.37,,N,N
2,Sporobolus,Coarse,C,1,4/12/2022,10/22/2021,4/13/2022,15,58.8,,13,135.6,,4,,4/13/2022,125.28,300.48,4/23/2022,41.3,5/4/2022,15.92,57.22,,N,N
3,Sporobolus,Dredge,D,1,4/12/2022,10/22/2021,4/13/2022,11,63.4,,13,98.6,,4,,4/13/2022,121.83,427.75,4/23/2022,33.59,6/14/2022,20.8,54.39,,N,N
4,Zizaniopsis,Dredge,D,1,4/12/2022,10/22/2021,4/13/2022,7,,,18,162.8,,5,,4/13/2022,145.58,356.82,4/23/2022,38.08,4/27/2022,32.3,70.38,,N,N
5,Salix,Mix,M,1,4/12/2022,10/22/2021,4/13/2022,,,6.28,3,111.5,10,5,,4/13/2022,58.43,166.68,4/23/2022,18.92,5/4/2022,10.97,29.89,,N,N
6,Salix,Fine,F,1,4/12/2022,10/22/2021,4/13/2022,,,6.65,2,71.5,5.23,5,,4/13/2022,21.43,67.35,4/23/2022,7.73,5/4/2022,5.06,12.79,,N,N
7,Zizaniopsis,Mix,M,2,4/12/2022,11/18/2021,4/13/2022,6,,,15,134.3,,5,,4/13/2022,87.84,240.86,4/23/2022,20.52,4/27/2022,35.97,56.49,,N,N
8,Salix,Fine,F,2,4/12/2022,10/22/2021,,,,6.39,2,94.3,6.26,5,,,,,,,,,,Donated,N,N
9,Salix,Coarse,C,2,4/12/2022,10/22/2021,4/13/2022,,,5.7,2,62.4,5.86,5,,4/13/2022,15.35,31.85,4/23/2022,5.52,5/4/2022,2.65,8.17,,N,N
10,Sporobolus,Mix,M,2,4/12/2022,10/22/2021,4/13/2022,23,65,,23,147.4,,4,,4/13/2022,305.07,438.43,4/23/2022,85.55,6/14/2022,37.81,123.36,,N,N
11,Zizaniopsis,Dredge,D,2,4/12/2022,10/22/2021,4/13/2022,10,,,8,210.2,,5,long flowered shoot had stolon coming off it,4/13/2022,135.59,306.15,4/23/2022,36.39,5/4/2022,25.15,61.54,,N,N
12,Salix,Mix,M,2,4/12/2022,10/22/2021,4/13/2022,,,7,3,149,8.49,5,,4/13/2022,94.35,139.55,4/23/2022,30.3,5/4/2022,9.02,39.32,,N,N
13,Salix,Coarse,C,1,4/12/2022,10/22/2021,,,,4.08,3,89.2,3.9,5,,,,,,,,,,Donated,N,N
14,Sporobolus,Mix,M,1,4/12/2022,10/22/2021,4/13/2022,16,71,,20,94,,4,,4/13/2022,196.01,412.85,4/23/2022,51.84,6/14/2022,38.31,90.15,,N,N
15,Zizaniopsis,Coarse,C,1,4/12/2022,11/18/2021,4/13/2022,9,,,7,92.4,,4,,4/13/2022,15.15,44.77,4/23/2022,3.47,6/14/2022,6.55,10.02,,N,N
16,Sporobolus,Fine,F,1,4/12/2022,10/22/2021,4/13/2022,12,60.8,,10,125.5,,4,,4/13/2022,108.52,253.02,4/23/2022,33.85,5/4/2022,10.25,44.1,,N,N
17,Zizaniopsis,Fine,F,1,4/12/2022,11/18/2021,4/13/2022,5,,,8,89.5,,5,,4/13/2022,20.72,74.81,4/23/2022,4.69,5/4/2022,7.34,12.03,,N,N
18,Salix,Dredge,D,1,4/12/2022,10/22/2021,,,,6.78,11,91,5.97,5,,,,,,,,,,Donated,N,N
19,Salix,Dredge,D,2,4/12/2022,10/22/2021,4/13/2022,,,6.56,4,119.5,9.8,5,,4/13/2022,70.68,178.14,4/23/2022,22.37,5/4/2022,19.04,41.41,,N,N
20,Sporobolus,Dredge,D,2,4/12/2022,10/22/2021,4/13/2022,10,74,,14,147.8,,4,,4/13/2022,208.62,364.33,4/23/2022,62.15,4/27/2022,32.27,94.42,,N,N
21,Sporobolus,Fine,F,2,4/12/2022,10/22/2021,4/13/2022,16,67.5,,16,104.5,,4,,4/13/2022,120.82,270.9,4/23/2022,34.73,4/27/2022,20.84,55.57,,N,N
22,Zizaniopsis,Coarse,C,2,4/12/2022,11/18/2021,4/13/2022,8,,,11,129.5,,5,,4/13/2022,55.76,126.33,4/23/2022,14.73,5/4/2022,14.83,29.56,Shoots reweighed on 4/26 as 14.53g,N,N
23,Sporobolus,Coarse,C,2,4/12/2022,10/22/2021,4/13/2022,12,60.9,,11,115.7,,3,,4/13/2022,101.74,178.33,4/23/2022,31.4,5/4/2022,8.95,40.35,,N,N
24,Zizaniopsis,Fine,F,2,4/12/2022,11/18/2021,4/13/2022,7,,,6,120.3,,4,,4/13/2022,33.38,111.85,4/23/2022,8.75,4/27/2022,11.71,20.46,,N,N
25,Zizaniopsis,Fine,F,3,4/12/2022,11/18/2021,4/13/2022,9,,,8,104.4,,5,,4/13/2022,20.27,79.03,4/23/2022,4.94,4/27/2022,7.14,12.08,,N,N
26,Sporobolus,Fine,F,3,4/12/2022,10/22/2021,4/13/2022,10,67.7,,10,106.2,,4,,4/13/2022,101.47,298.16,4/23/2022,30.97,4/27/2022,15.27,46.24,,N,N
27,Salix,Coarse,C,3,4/12/2022,10/22/2021,4/13/2022,,,3.72,2,97.8,3.97,5,,4/13/2022,54.36,183.45,4/23/2022,17.9,5/4/2022,9.11,27.01,,N,N
28,Salix,Dredge,D,3,4/12/2022,10/22/2021,4/13/2022,,,4.42,2,98.7,4.37,5,,4/13/2022,53.13,140.03,4/23/2022,16.84,4/27/2022,18.99,35.83,,N,N
29,Sporobolus,Mix,M,3,4/12/2022,10/22/2021,4/13/2022,11,60.6,,15,161,,4,,4/13/2022,228.44,385.17,4/23/2022,67.42,5/4/2022,26.86,94.28,,N,N
30,Salix,Fine,F,3,4/12/2022,10/22/2021,,,,6.64,7,76.5,6.43,5,,,,,,,,,,Donated,N,N
31,Sporobolus,Dredge,D,4,4/12/2022,10/22/2021,4/13/2022,17,60.6,,26,112.7,,4,,4/13/2022,176.76,564.43,4/23/2022,50.49,4/27/2022,44.78,95.27,,N,N
32,Sporobolus,Fine,F,4,4/12/2022,10/22/2021,4/13/2022,7,59.9,,13,136.6,,3,,4/13/2022,116.27,203.09,4/23/2022,35.93,4/27/2022,19.39,55.32,,N,N
33,Sporobolus,Mix,M,4,4/12/2022,10/22/2021,4/13/2022,15,61.8,,19,97.4,,4,,4/13/2022,172.76,465.61,4/23/2022,46.74,4/27/2022,31.52,78.26,,N,N
34,Zizaniopsis,Coarse,C,4,4/12/2022,10/22/2021,4/20/2022,14,,,11,116,,5,,4/20/2022,62.7,232.6,5/1/2022,15.84,4/29/2022,21.18,37.02,,N,N
35,Salix,Fine,F,4,4/12/2022,10/22/2021,4/20/2022,,,4.64,2,46,5.88,5,,4/20/2022,15.4,35.4,5/1/2022,6.06,4/27/2022,4.52,10.58,,N,N
