ID,SciName,CommonName,Species,Substrate,XG,Trt_ID,Block,DatePlanted,Survival,DateMeasured_Initial,TotalStems_Initial,Height_cm_Initial,Condition_1-5_Initial,Notes_InitialMeasurement,DateMeasured_Mid,NumGreenStems_Mid,NumBrownStems_Mid,TotalStems_Mid,Height_cm_Mid,Diameter_mm_Mid,Condition_1-5_Mid,Notes_Mid,DateMeasured_Spring,NumGreenStems_Spring,NumBrownStems_Spring,TotalStems_Spring,Height_cm_Spring,Diameter_mm_Spring,Condition_1-5_Spring,Notes_Spring,DateMeasured_June,NumGreenStems_June,NumBrownStems_June,TotalStems_June,Height_cm_June,Diameter_mm_June,Condition_1-5_June,Notes_June,DateMeasured_August,WoodyStems_August,Height_cm_August,Diameter_mm_August,Condition_1-5_August,Notes_August,DateMeasured_September,WoodyStems_September,Height_cm_September,Diameter_mm_September,Condition_1-5_September,Notes_September,DateMeasured_WM,AGWetmass_g,AGCorrectedWetmass_g,BGWetmass_g,Notes_WM,DeadRemoved_g,BGRinseweight_g,BGCorrectedWetmass_g,Subsample_g,BGPredryCorrected_g,Subsampled_by,TotWetmassCorrected_g,TotPredryCorrected_g,DateMeasured_DM_BG,BGDrymass_Dirty_g,BGDrymass_Clean_g,BGContamination_g,BGDryWetRatio,BGDrySubsample_Estimated_g,BGFullDrymass_Estimated_g,DateMeasured_DM_AG,AGDrymass_Dirty_g,AGDrymass_Clean_g,AGContamination_g,AGDryWetRatio,TotDrymass_Estimated_g,Notes_DM
2,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-2,1,11/14/2023,Alive,12/20/2022,4,146,3,,2/14/2023,6,2,8,193.3,,4,surface algae ,4/5/2023,9,2,11,263,,4,,,,,,,,,,,,,,,,,,,,,,4/11/2023,320,320,228,,0,189,180,2,178,EM,499,498,4/25/2023,30,21,9,0,0,21,,47,47,0,0,68,
5,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-5,1,11/14/2023,Alive,12/20/2022,5,151.2,2,,2/14/2023,4,3,7,151.3,,3,1 brown broke off,4/5/2023,5,5,10,149,,5,,,,,,,,,,,,,,,,,,,,,,4/11/2023,61,61,193,,0,,169,2,168,EM,230,229,4/25/2023,36,13,23,0,0,13,,,10,,0,23,dirty not taken
15,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-15,1,11/14/2023,Alive,12/20/2022,6,154.5,3,,2/14/2023,7,2,9,204.3,,4,surface algae,4/5/2023,9,1,10,249.8,,4,sparse herbivory,,,,,,,,,,,,,,,,,,,,,4/11/2023,345,345,237,,0,,237,2,235,EM,582,580,4/25/2023,29,29,0,0,0,29,,,58,,0,87,dirty not taken
19,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-19,2,11/14/2023,Alive,12/20/2022,9,184.6,3,,2/14/2023,14,1,15,202.6,,4,"1 brown broke off, surface algae",4/5/2023,17,2,19,255.2,,4,surface dried out,,,,,,,,,,,,,,,,,,,,,4/11/2023,601,601,404,,3,,400,2,399,EM,1001,999,4/26/2023,73,69,3,0,0,70,,107,107,0,0,177,
20,Shoenoplectus californicus,Giant bulrush,GB,G,N,G-N-20,2,11/14/2023,Dead,12/20/2022,6,174.2,1,,2/14/2023,0,6,6,,,1,looks dead,4/5/2023,0,3,3,,,1,quite dead,,,,,,,,,,,,,,,,,,,,,4/11/2023,0,0,0,nothing to measure,0,,0,0,0,EM,0,0,,0,0,0,,0,0,,0,0,0,,0,dead/no bag
21,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-21,2,11/14/2023,Alive,12/20/2022,7,172.6,4,,2/14/2023,9,2,11,242.5,,4,surface algae,4/5/2023,12,1,13,267.1,,4,some surface growth,,,,,,,,,,,,,,,,,,,,,4/11/2023,404,404,295,,0,,294,2,292,EM,698,697,4/26/2023,49,47,1,0,0,47,,65,65,0,0,112,
29,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-29,3,11/14/2023,Alive,12/20/2022,7,136.4,3,,2/14/2023,8,2,10,123.7,,4,"1 brown broke off, surface algae",4/5/2023,9,4,13,267,,4,"lamp damage on long ends, some black lichen",,,,,,,,,,,,,,,,,,,,,4/12/2023,416,416,225,"weevil larva, pupa",0,,223,2,222,EM,640,638,4/26/2023,32,31,1,0,0,31,,62,62,0,0,93,
32,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-32,4,11/14/2023,Alive,12/20/2022,8,150.2,3,,2/14/2023,7,2,9,203.4,,4,"1 brown broke off, surface algae",4/5/2023,10,3,13,262.6,,4,some black/green surface growth,,,,,,,,,,,,,,,,,,,,,4/12/2023,374,374,186,,15,,185,2,183,EM,559,558,4/25/2023,26,26,1,0,0,26,,58,58,0,0,84,"One of the test measured, so dirty weight of 58.38 may not be accurate: some dried soil may have been discarded while test measuring.."
38,Shoenoplectus californicus,Giant bulrush,GB,D,N,D-N-38,5,11/14/2023,Alive,12/20/2022,7,145.2,3,,2/14/2023,5,3,8,186.1,,4,surface algae,4/5/2023,6,2,8,253,,4,"herbivory, dark surface growth",,,,,,,,,,,,,,,,,,,,,4/12/2023,306,306,98,,8,82,81,1,80,EM,387,386,4/26/2023,10,9,1,0,0,9,,40,40,0,0,49,mummified grub
42,Shoenoplectus californicus,Giant bulrush,GB,M,N,M-N-42,5,11/14/2023,Alive,12/20/2022,8,153.9,3,,2/14/2023,9,3,12,180.5,,4,surface algae,4/5/2023,10,2,12,265.9,,5,"dark surface growth, some herbivory ",,,,,,,,,,,,,,,,,,,,,4/12/2023,236,235,106,"not many roots, several little worms",3,,106,1,105,EM,341,340,4/25/2023,21,21,1,0,0,21,,37,37,1,0,58,
