Sand,SoilType,V_SaturatedUncompressed_ml,BDUncompressed_Avg_gperml,MassUncompressed_Estimated_g,StartingPosition_mm,EndingPosition_mm,SampleDisplacement_mm,V_SaturatedCompressed_ml,BD_SaturatedCompressed_Estimated_gperml,Compaction,AveragePD,SaturatedCompressedPorosity,DieArea_cm_sq,InitialSampleHeight_cm,InitialSampleVolume_ml
L2-L5,CoarseA,10,1.44,14.4,23.01,21.19,1.82,8.53848,1.69,1.17,2.48,0.318548387,8.04,1.244,10
L2-L5,CoarseA,10,1.44,14.4,21.99,20.47,1.52,8.77968,1.64,1.14,2.48,0.338709677,,,
L2-L5,CoarseA,10,1.44,14.4,22.49,20.45,2.04,8.3616,1.72,1.2,2.48,0.306451613,,,
L2-L5,CoarseA,10,1.44,14.4,21.17,19.98,1.19,9.045,1.59,1.11,2.48,0.358870968,,,
L2-L5,CoarseA,10,1.44,14.4,21.22,19.76,1.46,8.82792,1.63,1.13,2.48,0.342741935,,,
L4-L5,Fine,10,1.2,12,23.51,21.73,1.78,8.57064,1.4,1.17,2.492,0.438202247,,,
L4-L5,Fine,10,1.2,12,23.46,21.91,1.55,8.75556,1.37,1.14,2.492,0.45024077,,,
L4-L5,Fine,10,1.2,12,23.06,22.13,0.93,9.25404,1.3,1.08,2.492,0.478330658,,,
L4-L5,Fine,10,1.2,12,23.1,21.79,1.31,8.94852,1.34,1.12,2.492,0.462279294,,,
L4-L5,Fine,10,1.2,12,22.19,21.17,1.02,9.18168,1.31,1.09,2.492,0.474317817,,,
(L2-L5)-Dredge(50/50),MixA,10,1.54,15.4,23,20.64,2.36,8.10432,1.9,1.23,2.542,0.252557042,,,
(L2-L5)-Dredge(50/50),MixA,10,1.54,15.4,21.81,20.75,1.06,9.14952,1.68,1.09,2.542,0.339103068,,,
(L2-L5)-Dredge(50/50),MixA,10,1.54,15.4,22.59,21.91,0.68,9.45504,1.63,1.06,2.542,0.35877262,,,
(L2-L5)-Dredge(50/50),MixA,10,1.54,15.4,22.71,21.28,1.43,8.85204,1.74,1.13,2.542,0.315499607,,,
(L2-L5)-Dredge(50/50),MixA,10,1.54,15.4,22.21,21.23,0.98,9.21384,1.67,1.09,2.542,0.343036979,,,
(L3-L4)-Dredge(50/50),MixB,10,1.51,15.1,22.93,21.98,0.95,9.23796,1.63,1.08,2.52,0.353174603,,,
(L3-L4)-Dredge(50/50),MixB,10,1.51,15.1,22.27,21.2,1.07,9.14148,1.65,1.09,2.52,0.345238095,,,
(L3-L4)-Dredge(50/50),MixB,10,1.51,15.1,21.31,20.72,0.59,9.5274,1.58,1.05,2.52,0.373015873,,,
(L3-L4)-Dredge(50/50),MixB,10,1.51,15.1,21.14,20.11,1.03,9.17364,1.65,1.09,2.52,0.345238095,,,
(L3-L4)-Dredge(50/50),MixB,10,1.51,15.1,20.96,20.3,0.66,9.47112,1.59,1.06,2.52,0.369047619,,,
Dredge,Dredge,10,1.56,15.6,21.35,20.62,0.73,9.41484,1.66,1.06,2.762,0.398986242,,,
Dredge,Dredge,10,1.56,15.6,21.5,20.84,0.66,9.47112,1.65,1.06,2.762,0.402606807,,,
Dredge,Dredge,10,1.56,15.6,21.11,20.32,0.79,9.3666,1.67,1.07,2.762,0.395365677,,,
Dredge,Dredge,10,1.56,15.6,23.24,21.39,1.85,8.51436,1.83,1.17,2.762,0.33743664,,,
Dredge,Dredge,10,1.56,15.6,22.55,21.86,0.69,9.447,1.65,1.06,2.762,0.402606807,,,
L3+L4,CoarseB,10,1.26,12.6,21.32,20.27,1.05,9.15756,1.38,1.09,2.48,0.443548387,,,
L3+L4,CoarseB,10,1.26,12.6,21.64,20.59,1.05,9.15756,1.38,1.09,2.48,0.443548387,,,
L3+L4,CoarseB,10,1.26,12.6,21.61,20.86,0.75,9.39876,1.34,1.06,2.48,0.459677419,,,
L3+L4,CoarseB,10,1.26,12.6,23.81,22.4,1.41,8.86812,1.42,1.13,2.48,0.427419355,,,
L3+L4,CoarseB,10,1.26,12.6,23,21.55,1.45,8.83596,1.43,1.13,2.48,0.423387097,,,
