Substrate,Mass of sand (g),Initial Volume of water (ml),Final Volume of water (ml),Volume of sand (ml),Bulk Density(g/ml),ParticleDensity_gperml,Porosity
CoarseA,40,50,66,27.5,1.45,2.5,0.4182
CoarseA,60,43,67,42,1.43,2.5,0.4286
CoarseA,20,32,40,14,1.43,2.5,0.4286
CoarseA,40,56,72,27.5,1.45,2.5,0.4182
CoarseA,12,36,41,8.5,1.41,2.4,0.4118
Dredge,,,,,1.48,2.85,0.4807
Dredge,,,,,1.6,3.13,0.4888
Dredge,,,,,1.53,2.82,0.4574
Dredge,,,,,1.61,2.47,0.3482
Dredge,,,,,1.59,2.54,0.374
Fine,20,50.5,59,15.5,1.29,2.35,0.4516
Fine,40,65,81,30.5,1.31,2.5,0.4754
Fine,30,49,60,23.5,1.28,2.73,0.5319
Fine,50,25,46,57,0.88,2.38,0.6316
Fine,10,67,71,8,1.25,2.5,0.5
MixA,40,50,66,26,1.54,2.5,0.3846
MixA,24,61,71,15,1.6,2.4,0.3333
MixA,80,28,59,54,1.48,2.58,0.4259
MixA,32,39,51.5,20.5,1.56,2.56,0.3902
MixA,48,40,58,32,1.5,2.67,0.4375
MixB,20,70,78,13,1.54,2.5,0.3846
MixB,40,50,66,27,1.48,2.5,0.4074
MixB,60,41,64.5,38,1.58,2.55,0.3816
MixB,28,59,70,19,1.47,2.55,0.4211
MixB,40,58.5,74.5,27,1.48,2.5,0.4074
CoarseB,10,25,29,8,1.25,2.5,0.5
CoarseB,10,58,62,8,1.25,2.5,0.5
CoarseB,20,39,47,16,1.25,2.5,0.5
CoarseB,30,44,56.5,24,1.25,2.4,0.4792
CoarseB,40,42,58,30.5,1.31,2.5,0.4754
